Magnitude,UTC Date,UTC Time,Sydney Date,Sydney Time,Latitude,Longitude,Approximate location,Depth (km),Solution finalised,EVENT ID,ORIGIN ID
6.0,2016-05-16,00:41:57,2016-05-16,10:41:57,-22.485,173.07,SE of Loyalty Islands.,39.0,FINL,1146555,1314376
5.9,2016-05-07,13:59:01,2016-05-07,23:59:01,-17.531,-178.533,Fiji Islands Region.,528.0,FINL,1143405,1311211
5.8,2016-05-02,04:21:23,2016-05-02,14:21:23,-5.221,104.497,"Southern Sumatra, Indonesia.",108.0,FINL,1141362,1308975
6.0,2016-04-30,08:35:45,2016-04-30,18:35:45,-16.284,167.253,Vanuatu Islands.,14.0,FINL,1140638,1308446
7.3,2016-04-28,19:33:25,2016-04-29,05:33:25,-16.023,167.464,Vanuatu Islands.,24.0,FINL,1140058,1307373
5.8,2016-04-28,01:17:15,2016-04-28,11:17:15,-6.068,155.007,Bougainville Island.,162.0,FINL,1139667,1307294
5.8,2016-04-25,08:02:46,2016-04-25,18:02:46,-17.885,-178.347,Fiji Islands Region.,603.0,FINL,1138634,1306269
6.0,2016-04-18,13:06:11,2016-04-18,23:06:11,-19.491,169.09,Vanuatu Islands.,78.0,FINL,1135948,1303022
5.8,2016-04-17,07:31:00,2016-04-17,17:31:00,-23.412,-174.371,Tonga Islands Region.,13.0,FINL,1135391,1302881
5.8,2016-04-14,23:15:10,2016-04-15,09:15:10,-7.48,128.108,Banda Sea. (Reported Felt).,169.0,FINL,1133871,1300669
6.5,2016-04-14,21:50:24,2016-04-15,07:50:24,-14.397,166.51,Vanuatu Islands.,0.0,FINL,1133803,1300664
6.1,2016-04-14,12:17:08,2016-04-14,22:17:08,-14.475,166.388,Vanuatu Islands.,22.0,FINL,1133305,1300616
6.0,2016-04-13,18:21:55,2016-04-14,04:21:55,7.768,122.114,"Mindanao, Philippines.",39.0,FINL,1132962,1299889
6.0,2016-04-10,02:14:37,2016-04-10,12:14:37,-4.095,102.28,"Southern Sumatra, Indonesia.",73.0,FINL,1131328,1298343
7.1,2016-04-07,03:32:56,2016-04-07,13:32:56,-13.973,166.652,Vanuatu Islands.,45.0,FINL,1130067,1297065
5.8,2016-04-06,20:35:15,2016-04-07,06:35:15,-6.171,130.33,Banda Sea. (Reported Felt).,122.0,FINL,1129882,1296531
5.9,2016-04-06,14:45:33,2016-04-07,00:45:33,-8.019,107.461,"Java, Indonesia.",51.0,FINL,1129753,1296498
7.0,2016-04-06,06:58:48,2016-04-06,16:58:48,-14.15,166.566,Vanuatu Islands.,23.0,FINL,1129482,1296484
7.2,2016-04-03,08:23:53,2016-04-03,18:23:53,-14.195,166.901,Vanuatu Islands.,38.0,FINL,1127875,1294753
6.2,2016-04-01,19:25:01,2016-04-02,06:25:01,-3.608,144.642,"Near N Coast of New Guinea, PNG.",22.0,FINL,1127231,1294636
5.8,2016-03-18,12:49:17,2016-03-18,23:49:17,-12.56,166.507,Santa Cruz Islands.,65.0,FINL,1122194,1289297
6.2,2016-03-08,05:36:25,2016-03-08,16:36:25,-15.211,-173.47,Tonga Islands.,16.0,FINL,1118929,1285070
7.8,2016-03-02,12:49:46,2016-03-02,23:49:46,-4.95,94.36,"Southwest of Sumatra, Indonesia.",13.0,FINL,1116993,1282990
6.0,2016-03-01,09:26:43,2016-03-01,20:26:43,-33.141,-178.208,"Kermadec Islands Region, New Zealand.",0.0,FINL,1116532,1282541
6.1,2016-02-27,21:29:46,2016-02-28,08:29:46,-51.735,139.442,Western Indian-Antarctic Ridge.,11.0,FINL,1115327,1281530
5.9,2016-02-23,18:08:44,2016-02-24,05:08:44,-63.118,145.219,South of Australia.,0.0,FINL,1113764,1279532
6.0,2016-02-20,15:51:23,2016-02-21,02:51:23,-21.773,-179.398,Fiji Islands Region.,582.0,FINL,1112645,1278822
6.1,2016-02-17,17:26:02,2016-02-18,04:26:02,0.593,129.046,"Halmahera, Indonesia.",0.0,FINL,1111511,1277281
6.3,2016-02-15,19:28:03,2016-02-16,06:28:03,-49.013,164.492,"Auckland Islands Region, New Zealand.",0.0,FINL,1110721,1276301
5.8,2016-02-15,15:02:33,2016-02-16,02:02:33,-20.863,-175.397,Tonga Islands.,13.0,FINL,1110603,1276297
6.0,2016-02-14,00:13:46,2016-02-14,11:13:46,-43.495,172.877,"E of Christchurch, New Zealand.",20.0,FINL,1110162,1276290
6.4,2016-02-12,10:02:26,2016-02-12,21:02:26,-9.512,119.4,"Sumba Region, Indonesia.",41.0,FINL,1109469,1275994
6.4,2016-02-08,16:19:14,2016-02-09,03:19:14,-6.64,154.76,Bougainville Island Region.,44.0,FINL,1108078,1273731
6.0,2016-02-01,19:00:47,2016-02-02,06:00:47,-30.626,-179.936,"Kermadec Islands Region, NZ.",396.0,FINL,1105287,1270754
5.9,2016-01-31,17:39:04,2016-02-01,04:39:04,-63.268,168.765,Balleny Islands Region.,20.0,FINL,1104930,1270458
5.8,2016-01-26,03:46:36,2016-01-26,14:46:36,-20.368,-177.619,Fiji Islands Region.,492.0,FINL,1102728,1268584
6.1,2016-01-26,03:10:24,2016-01-26,14:10:24,-5.365,153.217,"New Ireland Region, PNG.",50.0,FINL,1102676,1268582
5.8,2016-01-25,00:00:04,2016-01-25,11:00:04,-19.229,-173.487,Tonga Islands.,2.0,FINL,1102321,1268478
6.1,2016-01-18,18:24:18,2016-01-19,05:24:18,-21.403,176.16,South of Fiji Islands.,0.0,FINL,1099587,1265039
6.1,2016-01-13,05:56:00,2016-01-13,16:56:00,-15.141,-174.594,Tonga Islands.,258.0,FINL,1097194,1262582
6.8,2016-01-11,16:38:10,2016-01-12,03:38:10,3.851,126.931,"Talaud Islands, Indonesia.",39.0,FINL,1096416,1261769
5.8,2016-01-01,15:02:19,2016-01-02,02:02:19,-28.724,-176.877,Kermadec Islands Region.,73.0,FINL,1092095,1259522
6.3,2016-01-01,02:00:39,2016-01-01,13:00:39,-50.575,139.447,Western Indian-Antarctic Ridge.,10.0,FINL,1092001,1256871
6.2,2015-12-29,01:51:44,2015-12-29,12:51:44,-6.309,154.753,Solomon Islands.,59.0,FINL,1091074,1256473
6.2,2015-12-20,18:47:38,2015-12-21,05:47:38,3.637,117.66,Borneo.,28.0,FINL,1087475,1252468
5.8,2015-12-09,12:58:06,2015-12-09,23:58:06,-16.733,175.21,Fiji Islands Region.,44.0,FINL,1080913,1247518
7.1,2015-12-09,10:21:49,2015-12-09,21:21:49,-4.176,129.448,Banda Sea.,26.0,FINL,1080431,1247346
5.8,2015-12-06,17:09:28,2015-12-07,04:09:28,-17.943,-178.708,Fiji Islands Region.,533.0,FINL,1079099,1243741
5.8,2015-11-25,18:57:44,2015-11-26,05:57:44,1.391,126.346,Northern Molucca Sea.,58.0,FINL,1074365,1238705
5.8,2015-11-21,09:06:11,2015-11-21,20:06:11,-7.242,130.007,"Tanimbar Islands Region, Indonesia.",58.0,FINL,1072479,1237332
7.1,2015-11-18,18:31:07,2015-11-19,05:31:07,-9.022,158.438,Solomon Islands.,31.0,FINL,1071513,1235761
6.3,2015-11-08,16:47:04,2015-11-09,03:47:04,6.881,94.697,"Nicobar Islands, India Region.",25.0,FINL,1066591,1230895
6.6,2015-11-04,03:44:13,2015-11-04,14:44:13,-8.328,124.898,Timor Region.,0.0,FINL,1063262,1227850
5.8,2015-11-02,03:04:08,2015-11-02,14:04:08,-18.113,-177.824,Fiji Islands Region.,606.0,FINL,1062335,1226436
5.8,2015-10-25,14:58:57,2015-10-26,01:58:57,-29.285,-177.626,"Kermadec Islands, NZ.",0.0,FINL,1059177,1223095
7.5,2015-10-20,21:52:06,2015-10-21,08:52:06,-14.879,167.35,Vanuatu Islands.,177.0,FINL,1056915,1221246
6.1,2015-10-18,16:18:33,2015-10-19,03:18:33,-16.267,-173.165,Tonga Islands.,0.0,FINL,1056066,1219896
6.1,2015-09-24,15:56:58,2015-09-25,01:56:58,-10.149,160.534,Solomon Islands.,41.0,FINL,1047538,1210947
6.9,2015-09-24,15:53:32,2015-09-25,01:53:32,-0.738,131.115,"Irian Jaya Region, Indonesia.",45.0,FINL,1047505,1210942
6.3,2015-09-16,14:03:27,2015-09-17,00:03:27,-6.102,151.577,"New Britain Region, PNG.",46.0,FINL,1043340,1206736
6.5,2015-09-16,07:40:53,2015-09-16,17:40:53,1.722,126.473,Northern Molucca Sea.,8.0,FINL,1043167,1206647
6.0,2015-09-12,20:32:29,2015-09-13,06:32:29,-32.385,-178.044,South of Kermadec Islands.,26.0,FINL,1042033,1205333
6.0,2015-09-08,06:48:37,2015-09-08,16:48:37,-32.718,-178.408,S of Kermadec Islands.,43.0,FINL,1040218,1203371
6.1,2015-09-07,14:06:28,2015-09-08,00:06:28,-33.062,-177.847,S of Kermadec Islands.,22.0,FINL,1039753,1202708
6.0,2015-09-07,09:13:57,2015-09-07,19:13:57,-33.166,-177.617,S of Kermadec Islands.,29.0,FINL,1039526,1202686
6.1,2015-09-07,08:46:10,2015-09-07,18:46:10,-24.068,179.139,S of Fiji Islands.,557.0,FINL,1039476,1202669
5.8,2015-09-02,01:18:31,2015-09-02,11:18:31,4.278,124.643,Celebes Sea.,324.0,FINL,1037683,1200572
5.8,2015-08-20,11:00:10,2015-08-20,21:00:10,0.467,126.546,Northern Molucca Sea.,68.0,FINL,1033792,1196467
6.6,2015-08-15,07:47:10,2015-08-15,17:47:10,-10.927,163.872,Solomon Islands.,42.0,FINL,1032247,1195115
5.8,2015-08-14,13:27:58,2015-08-14,23:27:58,-26.723,-175.822,S of Tonga Islands.,0.0,FINL,1031822,1195075
5.9,2015-08-13,14:04:59,2015-08-14,00:04:59,-3.974,152.909,"New Ireland Region, PNG.",156.0,FINL,1031363,1193920
6.7,2015-08-12,18:49:22,2015-08-13,04:49:22,-9.299,157.872,Solomon Islands.,0.0,FINL,1031206,1193537
5.8,2015-08-10,07:43:35,2015-08-10,17:43:35,-19.551,-174.685,Tonga Islands.,46.0,FINL,1030386,1192867
5.8,2015-08-10,04:24:29,2015-08-10,14:24:29,-9.313,157.89,Solomon Islands.,0.0,FINL,1030284,1192862
6.8,2015-08-10,04:12:12,2015-08-10,14:12:12,-9.29,158.019,Solomon Islands.,0.0,FINL,1030253,1192859
6.1,2015-08-09,04:46:16,2015-08-09,14:46:16,-27.275,-175.875,Kermadec Islands Region.,0.0,FINL,1029970,1192349
5.9,2015-08-06,23:59:45,2015-08-07,09:59:45,-26.242,-178.266,S of Fiji Islands.,269.0,FINL,1029331,1191475
7.2,2015-07-27,21:41:21,2015-07-28,07:41:21,-2.744,138.553,"Irian Jaya, Indonesia.",47.0,FINL,1026288,1188083
5.9,2015-07-26,22:42:14,2015-07-27,08:42:14,-18.361,-174.262,Tonga Islands.,2.0,FINL,1025753,1187605
6.1,2015-07-26,07:05:06,2015-07-26,17:05:06,-9.338,112.672,"South of Java, Indonesia.",36.0,FINL,1025517,1187548
7.3,2015-07-18,02:27:36,2015-07-18,12:27:36,-10.316,165.158,Santa Cruz Islands.,44.0,FINL,1023903,1185443
5.9,2015-07-17,18:49:48,2015-07-18,04:49:48,-18.05,-178.47,Fiji Islands Region.,550.0,FINL,2740608,2157742
6.8,2015-07-10,04:12:45,2015-07-10,14:12:45,-9.386,158.268,Solomon Islands.,33.0,FINL,1021472,1183875
6.0,2015-07-07,20:03:19,2015-07-08,06:03:19,-22.907,-177.022,South of Fiji Islands.,183.0,FINL,1020760,1182348
5.8,2015-07-06,12:24:05,2015-07-06,22:24:05,-20.681,-174.581,Tonga Islands.,30.0,FINL,1020111,1181870
6.3,2015-07-01,19:35:26,2015-07-02,05:35:26,-10.912,162.514,Solomon Islands.,49.0,FINL,1018376,1179900
6.0,2015-07-01,14:30:19,2015-07-02,00:30:19,-52.261,159.971,Macquarie Island Region.,0.0,FINL,1018269,1179878
6.0,2015-06-30,03:39:31,2015-06-30,13:39:31,-5.458,151.664,"New Britain Region, PNG.",74.0,FINL,1017695,1179503
6.2,2015-06-25,18:46:01,2015-06-26,04:46:01,-32.166,-178.227,"South of Kermadec Islands, NZ.",16.0,FINL,1016075,1177683
5.8,2015-06-23,08:59:52,2015-06-23,18:59:52,-19.492,-175.205,Tonga Islands.,104.0,FINL,1015252,1176843
6.1,2015-06-21,21:28:16,2015-06-22,07:28:16,-20.31,-178.307,Fiji Islands Region.,561.0,FINL,1014812,1176288
6.0,2015-06-20,23:39:12,2015-06-21,09:39:12,-23.378,-177.124,South of Fiji Islands.,187.0,FINL,1014648,1176266
6.2,2015-06-16,06:17:00,2015-06-16,16:17:00,-20.299,-178.934,Fiji Islands Region.,648.0,FINL,1013076,1174538
5.8,2015-06-15,21:04:25,2015-06-16,07:04:25,4.078,125.864,"Talaud Islands, Indonesia.",143.0,FINL,1012761,1174166
6.0,2015-06-15,17:40:58,2015-06-16,03:40:58,-9.606,124.966,Timor Region.,26.0,FINL,1012619,1174086
6.2,2015-06-12,11:07:01,2015-06-12,21:07:01,-15.569,-173.069,Tonga Islands.,0.0,FINL,1011193,1173513
6.2,2015-06-04,23:15:51,2015-06-05,09:15:51,5.899,116.619,Borneo.,67.0,FINL,1008485,1170647
5.8,2015-05-30,20:51:16,2015-05-31,06:51:16,-8.969,110.263,"Java, Indonesia.",75.0,FINL,1006761,1167999
6.1,2015-05-30,17:18:36,2015-05-31,03:18:36,-15.671,-173.514,Tonga Islands.,17.0,FINL,1006557,1167997
6.3,2015-05-24,14:38:58,2015-05-25,00:38:58,-19.286,-175.938,Tonga Islands.,0.0,FINL,1004078,1165458
6.0,2015-05-23,19:28:21,2015-05-24,05:28:21,-4.898,152.556,"New Britain Region, PNG.",79.0,FINL,1003680,1165026
6.9,2015-05-22,23:59:37,2015-05-23,09:59:37,-11.006,163.063,Solomon Islands Region.,36.0,FINL,1003270,1164965
7.1,2015-05-22,21:45:23,2015-05-23,07:45:23,-11.087,163.405,Solomon Islands Region.,44.0,FINL,1003174,1164907
6.9,2015-05-20,22:48:57,2015-05-21,08:48:57,-10.928,164.189,Santa Cruz Islands Region.,37.0,FINL,1002118,1162872
6.1,2015-05-20,00:30:49,2015-05-20,10:30:49,-19.186,-175.514,Tonga Islands.,165.0,FINL,1001697,1162826
6.0,2015-05-19,13:54:57,2015-05-19,23:54:57,-18.472,168.629,Vanuatu Islands.,58.0,FINL,1001539,1162780
6.0,2015-05-15,20:26:57,2015-05-16,06:26:57,-2.604,102.267,"Southern Sumatra, Indonesia.",158.0,FINL,1000027,1161373
6.1,2015-05-08,07:52:08,2015-05-08,17:52:08,-6.205,149.857,"New Britain Region, PNG.",53.0,FINL,996271,1157903
5.9,2015-05-08,03:12:24,2015-05-08,13:12:24,1.587,97.946,"Northern Sumatra, Indonesia.",72.0,FINL,996208,1157887
7.1,2015-05-07,07:10:25,2015-05-07,17:10:25,-7.339,154.527,"Bougainville Island Region, PNG.",41.0,FINL,995452,1156425
5.8,2015-05-05,08:02:48,2015-05-05,18:02:48,-18.838,169.097,Vanuatu Islands.,174.0,FINL,994385,1155653
5.9,2015-05-05,01:54:03,2015-05-05,11:54:03,-5.355,151.994,"New Britain Region, PNG.",51.0,FINL,993938,1155166
7.4,2015-05-05,01:44:08,2015-05-05,11:44:08,-5.658,151.933,"New Britain Region, PNG.",53.0,FINL,993902,1155031
6.0,2015-05-04,02:29:12,2015-05-04,12:29:12,-44.569,168.993,"South Island, New Zealand.",12.0,FINL,993422,1154119
6.1,2015-05-03,22:32:43,2015-05-04,08:32:43,-5.581,151.861,"New Britain Region, PNG.",49.0,FINL,993229,1153648
7.1,2015-05-01,08:06:06,2015-05-01,18:06:06,-5.322,151.785,"New Britain Region, PNG.",60.0,FINL,992254,1153495
7.1,2015-04-30,10:45:06,2015-04-30,20:45:06,-5.456,151.881,"New Britain Region, PNG.",60.0,FINL,991797,1152302
6.1,2015-04-28,16:39:40,2015-04-29,02:39:40,-20.701,-178.624,Fiji Islands Region.,580.0,FINL,991088,1151354
6.0,2015-04-24,03:36:43,2015-04-24,13:36:43,-42.242,173.257,"South Island, New Zealand.",50.0,FINL,988625,1150448
6.1,2015-04-22,22:57:20,2015-04-23,08:57:20,-12.048,166.496,Santa Cruz Islands.,105.0,FINL,988149,1148091
5.9,2015-04-20,09:05:36,2015-04-20,19:05:36,-5.509,102.605,"Southern Sumatra, Indonesia.",38.0,FINL,987095,1147288
6.5,2015-04-17,15:52:54,2015-04-18,01:52:54,-16.032,-178.535,Fiji Islands Region.,10.0,FINL,986228,1146728
5.9,2015-04-14,08:13:53,2015-04-14,18:13:53,-15.029,-172.999,Samoa Islands Region.,0.0,FINL,985126,1145095
6.5,2015-04-07,00:46:16,2015-04-07,10:46:16,-15.26,-173.312,Tonga Islands.,0.0,FINL,982120,1142211
6.1,2015-04-03,21:17:58,2015-04-04,08:17:58,-6.424,147.734,"Eastern New Guinea Region, PNG.",56.0,FINL,980812,1141783
6.0,2015-04-02,04:10:09,2015-04-02,15:10:09,-17.675,-178.635,Fiji Islands Region.,532.0,FINL,979778,1141760
6.0,2015-04-01,09:35:57,2015-04-01,20:35:57,-6.935,132.52,"Tanimbar Islands Region, Indonesia.",10.0,FINL,979441,1139228
6.0,2015-03-31,12:10:43,2015-03-31,23:10:43,-10.844,162.459,Solomon Islands.,49.0,FINL,979005,1138821
6.1,2015-03-30,18:02:09,2015-03-31,05:02:09,-15.516,-172.675,Samoa Islands Region.,0.0,FINL,978722,1138405
6.8,2015-03-30,08:48:23,2015-03-30,19:48:23,-15.348,-172.692,Samoa Islands Region.,0.0,FINL,978299,1138466
6.8,2015-03-30,08:18:00,2015-03-30,19:18:00,-15.468,-172.808,Samoa Islands Region.,12.0,FINL,978212,1138454
6.3,2015-03-30,07:56:51,2015-03-30,18:56:51,-15.352,-172.775,Samoa Islands Region.,0.0,FINL,978168,1138434
7.7,2015-03-29,23:48:34,2015-03-30,10:48:34,-4.785,152.57,"New Britain Region, PNG.",72.0,FINL,977692,1137431
5.9,2015-03-29,07:50:56,2015-03-29,18:50:56,1.586,126.585,Northern Molucca Sea.,61.0,FINL,977463,1137344
6.0,2015-03-28,22:28:51,2015-03-29,09:28:51,0.358,121.983,"Minahassa Peninsula, Sulawesi.",115.0,FINL,977242,1137154
5.9,2015-03-22,05:46:22,2015-03-22,16:46:22,-17.783,-178.356,Fiji Islands Region.,609.0,FINL,974663,1134333
5.8,2015-03-20,15:42:54,2015-03-21,02:42:54,-4.708,154.985,Solomon Islands.,45.0,FINL,973875,1134239
6.6,2015-03-17,22:12:31,2015-03-18,09:12:31,1.616,126.512,Northern Molucca Sea.,63.0,FINL,972913,1132273
6.0,2015-03-16,03:00:07,2015-03-16,14:00:07,-4.189,152.043,"New Britain Region, PNG.",203.0,FINL,972365,1131877
6.2,2015-03-15,23:17:18,2015-03-16,10:17:18,-0.643,122.404,"Minahassa Peninsula, Sulawesi.",43.0,FINL,972257,1131620
6.0,2015-03-07,22:19:03,2015-03-08,09:19:03,-6.653,151.776,"New Britain Region, PNG.",61.0,FINL,969337,1129125
6.1,2015-03-03,10:37:34,2015-03-03,21:37:34,-0.584,98.837,"Southern Sumatra, Indonesia.",56.0,FINL,967848,1126957
6.8,2015-02-27,13:45:03,2015-02-28,00:45:03,-7.316,122.493,Flores Sea.,525.0,FINL,966296,1126324
6.6,2015-02-19,13:18:39,2015-02-20,00:18:39,-16.471,168.201,Vanuatu Islands Region.,53.0,FINL,963111,1122206
6.2,2015-02-18,09:32:31,2015-02-18,20:32:31,-10.724,164.061,Santa Cruz Islands Region.,34.0,FINL,962803,1121787
6.3,2015-02-02,08:25:50,2015-02-02,19:25:50,-1.605,145.219,"Admiralty Islands Region, PNG.",24.0,FINL,957717,1116571
5.8,2015-02-01,13:34:09,2015-02-02,00:34:09,-21.232,170.362,SE of Loyalty Islands.,42.0,FINL,957266,1116161
6.3,2015-01-30,17:58:02,2015-01-31,04:58:02,-21.271,170.245,SE of Loyalty Islands.,41.0,FINL,956379,1115976
6.1,2015-01-28,02:43:18,2015-01-28,13:43:18,-20.858,-178.27,Fiji Islands Region.,462.0,FINL,955618,1114431
5.8,2015-01-27,00:53:23,2015-01-27,11:53:23,1.405,97.232,"Northern Sumatra, Indonesia.",44.0,FINL,955301,1114405
6.5,2015-01-23,03:47:28,2015-01-23,14:47:28,-17.082,168.503,Vanuatu Islands.,220.0,FINL,954218,1113685
6.0,2015-01-21,20:08:36,2015-01-22,07:08:36,-5.754,146.387,"Eastern New Guinea Region, PNG.",75.0,FINL,953761,1112577
5.8,2015-01-19,17:19:50,2015-01-20,04:19:50,4.599,119.83,"Sulu Archipelago, Philippines.",46.0,FINL,952933,1112224
6.0,2015-01-12,20:25:16,2015-01-13,07:25:16,-5.585,133.884,"Aru Islands Region, Indonesia.",32.0,FINL,950312,1108647
